date,valeur,mot_cle
2023-07-01,21,cloud computing
2023-08-01,22,cloud computing
2023-09-01,30,cloud computing
2023-10-01,31,cloud computing
2023-11-01,30,cloud computing
2023-12-01,31,cloud computing
2024-01-01,28,cloud computing
2024-02-01,34,cloud computing
2024-03-01,40,cloud computing
2024-04-01,37,cloud computing
2024-05-01,30,cloud computing
2024-06-01,33,cloud computing
2024-07-01,28,cloud computing
2024-08-01,35,cloud computing
2024-09-01,37,cloud computing
2024-10-01,36,cloud computing
2024-11-01,38,cloud computing
2024-12-01,31,cloud computing
2025-01-01,39,cloud computing
2025-02-01,39,cloud computing
2025-03-01,39,cloud computing
2025-04-01,33,cloud computing
2025-05-01,36,cloud computing
2025-06-01,41,cloud computing
2025-07-01,29,cloud computing
2025-08-01,26,cloud computing
2025-09-01,30,cloud computing
2025-10-01,36,cloud computing
2025-11-01,98,cloud computing
2025-12-01,100,cloud computing
2020-01-01,8,cybersécurité
2020-02-01,6,cybersécurité
2020-03-01,5,cybersécurité
2020-04-01,4,cybersécurité
2020-05-01,5,cybersécurité
2020-06-01,5,cybersécurité
2020-07-01,6,cybersécurité
2020-08-01,5,cybersécurité
2020-09-01,7,cybersécurité
2020-10-01,7,cybersécurité
2020-11-01,7,cybersécurité
2020-12-01,6,cybersécurité
2021-01-01,8,cybersécurité
2021-02-01,10,cybersécurité
2021-03-01,10,cybersécurité
2021-04-01,8,cybersécurité
2021-05-01,8,cybersécurité
2021-06-01,9,cybersécurité
2021-07-01,9,cybersécurité
2021-08-01,7,cybersécurité
2021-09-01,11,cybersécurité
2021-10-01,10,cybersécurité
2021-11-01,10,cybersécurité
2021-12-01,10,cybersécurité
2022-01-01,13,cybersécurité
2022-02-01,14,cybersécurité
2022-03-01,18,cybersécurité
2022-04-01,13,cybersécurité
2022-05-01,15,cybersécurité
2022-06-01,15,cybersécurité
2022-07-01,11,cybersécurité
2022-08-01,10,cybersécurité
2022-09-01,15,cybersécurité
2022-10-01,16,cybersécurité
2022-11-01,15,cybersécurité
2022-12-01,13,cybersécurité
2023-01-01,18,cybersécurité
2023-02-01,18,cybersécurité
2023-03-01,21,cybersécurité
2023-04-01,18,cybersécurité
2023-05-01,17,cybersécurité
2023-06-01,18,cybersécurité
2023-07-01,15,cybersécurité
2023-08-01,12,cybersécurité
2023-09-01,19,cybersécurité
