date,valeur,mot_cle
2020-06-01,71,algorithme
2020-07-01,39,algorithme
2020-08-01,38,algorithme
2020-09-01,81,algorithme
2020-10-01,82,algorithme
2020-11-01,85,algorithme
2020-12-01,74,algorithme
2021-01-01,84,algorithme
2021-02-01,77,algorithme
2021-03-01,80,algorithme
2021-04-01,79,algorithme
2021-05-01,71,algorithme
2021-06-01,60,algorithme
2021-07-01,31,algorithme
2021-08-01,33,algorithme
2021-09-01,70,algorithme
2021-10-01,92,algorithme
2021-11-01,83,algorithme
2021-12-01,70,algorithme
2022-01-01,100,algorithme
2022-02-01,80,algorithme
2022-03-01,90,algorithme
2022-04-01,80,algorithme
2022-05-01,79,algorithme
2022-06-01,80,algorithme
2022-07-01,42,algorithme
2022-08-01,38,algorithme
2022-09-01,75,algorithme
2022-10-01,82,algorithme
2022-11-01,90,algorithme
2022-12-01,72,algorithme
2023-01-01,86,algorithme
2023-02-01,77,algorithme
2023-03-01,87,algorithme
2023-04-01,76,algorithme
2023-05-01,77,algorithme
2023-06-01,63,algorithme
2023-07-01,39,algorithme
2023-08-01,37,algorithme
2023-09-01,66,algorithme
2023-10-01,72,algorithme
2023-11-01,79,algorithme
2023-12-01,69,algorithme
2024-01-01,70,algorithme
2024-02-01,72,algorithme
2024-03-01,74,algorithme
2024-04-01,70,algorithme
2024-05-01,72,algorithme
2024-06-01,61,algorithme
2024-07-01,34,algorithme
2024-08-01,30,algorithme
2024-09-01,58,algorithme
2024-10-01,66,algorithme
2024-11-01,69,algorithme
2024-12-01,56,algorithme
2025-01-01,71,algorithme
2025-02-01,63,algorithme
2025-03-01,71,algorithme
2025-04-01,60,algorithme
2025-05-01,57,algorithme
2025-06-01,52,algorithme
2025-07-01,32,algorithme
2025-08-01,27,algorithme
2025-09-01,56,algorithme
2025-10-01,49,algorithme
2025-11-01,60,algorithme
2025-12-01,49,algorithme
2020-01-01,62,robot
2020-02-01,52,robot
2020-03-01,53,robot
2020-04-01,92,robot
2020-05-01,95,robot
2020-06-01,71,robot
2020-07-01,57,robot
2020-08-01,53,robot
2020-09-01,54,robot
2020-10-01,68,robot
2020-11-01,97,robot
2020-12-01,97,robot
2021-01-01,75,robot
2021-02-01,73,robot
2021-03-01,74,robot
2021-04-01,71,robot
2021-05-01,74,robot
2021-06-01,62,robot
2021-07-01,55,robot
